"","States","Gender","Year","Death","Population","Rate"
"757","North Carolina","Male",2007,819,4440724,18.44
"758","North Carolina","Male",2008,892,4538073,19.66
"759","North Carolina","Male",2009,934,4603065,20.29
"760","North Carolina","Male",2010,908,4645492,19.55
"761","North Dakota","Female",2001,18,319787,5.63
"762","North Dakota","Female",2002,14,319017,4.39
"763","North Dakota","Female",2003,15,318896,4.7
"764","North Dakota","Female",2004,10,321008,3.12
"765","North Dakota","Female",2006,17,322583,5.27
"766","North Dakota","Female",2008,14,326131,4.29
"767","North Dakota","Female",2009,12,329674,3.64
"768","North Dakota","Female",2010,17,332727,5.11
"769","North Dakota","Male",2000,59,320524,18.41
"770","North Dakota","Male",2001,61,319275,19.11
"771","North Dakota","Male",2002,77,319151,24.13
"772","North Dakota","Male",2003,66,319921,20.63
"773","North Dakota","Male",2004,63,323697,19.46
"774","North Dakota","Male",2005,86,324546,26.5
"775","North Dakota","Male",2006,73,326839,22.34
"776","North Dakota","Male",2007,87,328756,26.46
"777","North Dakota","Male",2008,72,331438,21.72
"778","North Dakota","Male",2009,78,335294,23.26
"779","North Dakota","Male",2010,89,339864,26.19
"780","Ohio","Female",2000,191,5840878,3.27
"781","Ohio","Female",2001,215,5853691,3.67
"782","Ohio","Female",2002,257,5859385,4.39
"783","Ohio","Female",2003,189,5868535,3.22
"784","Ohio","Female",2004,283,5874411,4.82
"785","Ohio","Female",2005,240,5876703,4.08
"786","Ohio","Female",2006,284,5883067,4.83
"787","Ohio","Female",2007,232,5890965,3.94
"788","Ohio","Female",2008,288,5896594,4.88
"789","Ohio","Female",2009,236,5902018,4
"790","Ohio","Female",2010,294,5904348,4.98
"791","Ohio","Male",2000,897,5512262,16.27
"792","Ohio","Male",2001,1004,5533713,18.14
"793","Ohio","Male",2002,1030,5548504,18.56
"794","Ohio","Male",2003,885,5566253,15.9
"795","Ohio","Male",2004,1036,5577840,18.57
"796","Ohio","Male",2005,1101,5586617,19.71
"797","Ohio","Male",2006,1041,5598146,18.6
"798","Ohio","Male",2007,1063,5609503,18.95
"799","Ohio","Male",2008,1124,5618797,20
"800","Ohio","Male",2009,940,5626878,16.71
"801","Ohio","Male",2010,1145,5632156,20.33
"802","Oklahoma","Female",2000,103,1754759,5.87
"803","Oklahoma","Female",2001,91,1760052,5.17
"804","Oklahoma","Female",2002,104,1769080,5.88
"805","Oklahoma","Female",2003,78,1777723,4.39
"806","Oklahoma","Female",2004,111,1784671,6.22
"807","Oklahoma","Female",2005,118,1796475,6.57
"808","Oklahoma","Female",2006,111,1818693,6.1
"809","Oklahoma","Female",2007,125,1837175,6.8
"810","Oklahoma","Female",2008,109,1854771,5.88
"811","Oklahoma","Female",2009,111,1878034,5.91
"812","Oklahoma","Female",2010,118,1894374,6.23
"813","Oklahoma","Male",2000,394,1695895,23.23
"814","Oklahoma","Male",2001,423,1707048,24.78
"815","Oklahoma","Male",2002,397,1720000,23.08
"816","Oklahoma","Male",2003,398,1727169,23.04
"817","Oklahoma","Male",2004,395,1740562,22.69
"818","Oklahoma","Male",2005,404,1752122,23.06
"819","Oklahoma","Male",2006,426,1775397,23.99
"820","Oklahoma","Male",2007,406,1797174,22.59
"821","Oklahoma","Male",2008,466,1814205,25.69
"822","Oklahoma","Male",2009,456,1839538,24.79
"823","Oklahoma","Male",2010,500,1856977,26.93
"824","Oregon","Female",2000,113,1724849,6.55
"825","Oregon","Female",2001,104,1747889,5.95
"826","Oregon","Female",2002,85,1771126,4.8
"827","Oregon","Female",2003,112,1788805,6.26
"828","Oregon","Female",2004,140,1800377,7.78
"829","Oregon","Female",2005,117,1823447,6.42
"830","Oregon","Female",2006,137,1853117,7.39
"831","Oregon","Female",2007,128,1879347,6.81
"832","Oregon","Female",2008,119,1903535,6.25
"833","Oregon","Female",2009,157,1923209,8.16
"834","Oregon","Female",2010,150,1935072,7.75
"835","Oregon","Male",2000,380,1696550,22.4
"836","Oregon","Male",2001,401,1720048,23.31
"837","Oregon","Male",2002,433,1742298,24.85
"838","Oregon","Male",2003,480,1758571,27.29
"839","Oregon","Male",2004,415,1769086,23.46
"840","Oregon","Male",2005,443,1789755,24.75
"841","Oregon","Male",2006,442,1817766,24.32
"842","Oregon","Male",2007,466,1843070,25.28
"843","Oregon","Male",2008,453,1865213,24.29
"844","Oregon","Male",2009,487,1885391,25.83
"845","Oregon","Male",2010,535,1896002,28.22
"846","Pennsylvania","Female",2000,241,6351391,3.79
"847","Pennsylvania","Female",2001,225,6354395,3.54
"848","Pennsylvania","Female",2002,235,6363832,3.69
"849","Pennsylvania","Female",2003,245,6377894,3.84
"850","Pennsylvania","Female",2004,280,6390749,4.38
"851","Pennsylvania","Female",2005,272,6405053,4.25
"852","Pennsylvania","Female",2006,243,6429312,3.78
"853","Pennsylvania","Female",2007,253,6452087,3.92
"854","Pennsylvania","Female",2008,276,6473295,4.26
"855","Pennsylvania","Female",2009,342,6497024,5.26
"856","Pennsylvania","Female",2010,326,6512016,5.01
"857","Pennsylvania","Male",2000,1114,5929663,18.79
"858","Pennsylvania","Male",2001,1046,5944575,17.6
"859","Pennsylvania","Male",2002,1106,5967199,18.53
"860","Pennsylvania","Male",2003,1095,5996764,18.26
"861","Pennsylvania","Male",2004,1130,6019973,18.77
"862","Pennsylvania","Male",2005,1158,6044937,19.16
"863","Pennsylvania","Male",2006,1153,6081497,18.96
"864","Pennsylvania","Male",2007,1187,6111850,19.42
"865","Pennsylvania","Male",2008,1263,6138990,20.57
"866","Pennsylvania","Male",2009,1289,6169834,20.89
"867","Pennsylvania","Male",2010,1250,6190363,20.19
"868","Rhode Island","Female",2000,14,544684,2.57
"869","Rhode Island","Female",2001,22,548974,4.01
"870","Rhode Island","Female",2002,20,553090,3.62
"871","Rhode Island","Female",2003,15,555590,2.7
"872","Rhode Island","Female",2004,15,556375,2.7
"873","Rhode Island","Female",2005,21,552832,3.8
"874","Rhode Island","Female",2006,15,550134,2.73
"875","Rhode Island","Female",2007,20,546859,3.66
"876","Rhode Island","Female",2008,32,545412,5.87
"877","Rhode Island","Female",2009,22,544764,4.04
"878","Rhode Island","Female",2010,19,544167,3.49
"879","Rhode Island","Male",2000,61,503635,12.11
"880","Rhode Island","Male",2001,65,508168,12.79
"881","Rhode Island","Male",2002,66,512905,12.87
"882","Rhode Island","Male",2003,69,515752,13.38
"883","Rhode Island","Male",2004,70,518204,13.51
"884","Rhode Island","Male",2005,50,515084,9.71
"885","Rhode Island","Male",2006,75,512962,14.62
"886","Rhode Island","Male",2007,76,510456,14.89
"887","Rhode Island","Male",2008,78,509591,15.31
"888","Rhode Island","Male",2009,96,508882,18.86
"889","Rhode Island","Male",2010,110,508400,21.64
"890","South Carolina","Female",2000,103,2063083,4.99
"891","South Carolina","Female",2001,110,2089963,5.26
"892","South Carolina","Female",2002,75,2111069,3.55
"893","South Carolina","Female",2003,99,2133967,4.64
"894","South Carolina","Female",2004,91,2162305,4.21
"895","South Carolina","Female",2005,107,2192345,4.88
"896","South Carolina","Female",2006,119,2237655,5.32
"897","South Carolina","Female",2007,132,2280792,5.79
"898","South Carolina","Female",2008,111,2325047,4.77
"899","South Carolina","Female",2009,131,2357030,5.56
"900","South Carolina","Female",2010,151,2375263,6.36
"901","South Carolina","Male",2000,340,1948929,17.45
"902","South Carolina","Male",2001,357,1975032,18.08
"903","South Carolina","Male",2002,365,1996726,18.28
"904","South Carolina","Male",2003,377,2016330,18.7
"905","South Carolina","Male",2004,391,2048616,19.09
"906","South Carolina","Male",2005,403,2077805,19.4
"907","South Carolina","Male",2006,405,2120192,19.1
"908","South Carolina","Male",2007,397,2163318,18.35
"909","South Carolina","Male",2008,454,2203949,20.6
"910","South Carolina","Male",2009,488,2232842,21.86
"911","South Carolina","Male",2010,486,2250101,21.6
"912","South Dakota","Female",2000,12,380286,3.16
"913","South Dakota","Female",2001,17,381537,4.46
"914","South Dakota","Female",2002,18,382328,4.71
"915","South Dakota","Female",2003,19,383633,4.95
"916","South Dakota","Female",2004,18,386677,4.66
"917","South Dakota","Female",2005,17,389021,4.37
"918","South Dakota","Female",2006,21,392420,5.35
"919","South Dakota","Female",2007,26,396650,6.55
"920","South Dakota","Female",2008,23,400236,5.75
"921","South Dakota","Female",2009,21,403198,5.21
"922","South Dakota","Female",2010,38,406799,9.34
"923","South Dakota","Male",2000,83,374558,22.16
"924","South Dakota","Male",2001,88,376435,23.38
"925","South Dakota","Male",2002,76,377692,20.12
"926","South Dakota","Male",2003,83,380096,21.84
"927","South Dakota","Male",2004,94,383719,24.5
"928","South Dakota","Male",2005,104,386472,26.91
"929","South Dakota","Male",2006,104,390613,26.62
"930","South Dakota","Male",2007,76,394973,19.24
"931","South Dakota","Male",2008,101,398888,25.32
"932","South Dakota","Male",2009,108,403869,26.74
"933","South Dakota","Male",2010,102,407381,25.04
"934","Tennessee","Female",2000,146,2919008,5
"935","Tennessee","Female",2001,133,2948421,4.51
"936","Tennessee","Female",2002,166,2971873,5.59
"937","Tennessee","Female",2003,165,3000983,5.5
"938","Tennessee","Female",2004,165,3027931,5.45
"939","Tennessee","Female",2005,159,3068439,5.18
"940","Tennessee","Female",2006,195,3121455,6.25
"941","Tennessee","Female",2007,201,3162280,6.36
"942","Tennessee","Female",2008,223,3203115,6.96
"943","Tennessee","Female",2009,199,3231769,6.16
"944","Tennessee","Female",2010,215,3252601,6.61
"945","Tennessee","Male",2000,584,2770275,21.08
"946","Tennessee","Male",2001,578,2802368,20.63
"947","Tennessee","Male",2002,611,2824045,21.64
"948","Tennessee","Male",2003,597,2846829,20.97
"949","Tennessee","Male",2004,627,2882878,21.75
"950","Tennessee","Male",2005,697,2922618,23.85
"951","Tennessee","Male",2006,679,2967311,22.88
"952","Tennessee","Male",2007,643,3013447,21.34
"953","Tennessee","Male",2008,750,3044296,24.64
"954","Tennessee","Male",2009,747,3074250,24.3
"955","Tennessee","Male",2010,728,3093504,23.53
"956","Texas","Female",2000,406,10498910,3.87
"957","Texas","Female",2001,444,10731190,4.14
"958","Texas","Female",2002,505,10914653,4.63
"959","Texas","Female",2003,509,11095953,4.59
"960","Texas","Female",2004,497,11278402,4.41
"961","Texas","Female",2005,494,11470439,4.31
"962","Texas","Female",2006,500,11771243,4.25
"963","Texas","Female",2007,501,12010572,4.17
"964","Texas","Female",2008,500,12249936,4.08
"965","Texas","Female",2009,572,12500150,4.58
"966","Texas","Female",2010,591,12673281,4.66
"967","Texas","Male",2000,1647,10352910,15.91
"968","Texas","Male",2001,1780,10588432,16.81
"969","Texas","Male",2002,1803,10775672,16.73
"970","Texas","Male",2003,1853,10934978,16.95
"971","Texas","Male",2004,1802,11115621,16.21
"972","Texas","Male",2005,1924,11307684,17.01
"973","Texas","Male",2006,1847,11588337,15.94
"974","Texas","Male",2007,1932,11821411,16.34
"975","Texas","Male",2008,2052,12059103,17.02
"976","Texas","Male",2009,2235,12301611,18.17
"977","Texas","Male",2010,2298,12472280,18.42
"978","Utah","Female",2000,73,1114138,6.55
"979","Utah","Female",2001,56,1139182,4.92
"980","Utah","Female",2002,77,1158853,6.64
"981","Utah","Female",2003,55,1175867,4.68
"982","Utah","Female",2004,67,1196749,5.6
"983","Utah","Female",2005,62,1224741,5.06
"984","Utah","Female",2006,82,1257991,6.52
"985","Utah","Female",2007,76,1292672,5.88
"986","Utah","Female",2008,73,1325631,5.51
"987","Utah","Female",2009,98,1355509,7.23
"988","Utah","Female",2010,98,1375568,7.12
"989","Utah","Male",2000,225,1119031,20.11
"990","Utah","Male",2001,265,1144533,23.15
"991","Utah","Male",2002,263,1165962,22.56
"992","Utah","Male",2003,281,1184270,23.73
"993","Utah","Male",2004,310,1204831,25.73
"994","Utah","Male",2005,286,1232978,23.2
"995","Utah","Male",2006,280,1267516,22.09
"996","Utah","Male",2007,302,1305074,23.14
"997","Utah","Male",2008,317,1337398,23.7
"998","Utah","Male",2009,351,1367912,25.66
"999","Utah","Male",2010,375,1388317,27.01
"1000","Vermont","Female",2001,13,311779,4.17
"1001","Vermont","Female",2002,15,312959,4.79
"1002","Vermont","Female",2003,14,314206,4.46
"1003","Vermont","Female",2004,16,315080,5.08
"1004","Vermont","Female",2005,18,315422,5.71
"1005","Vermont","Female",2006,20,316290,6.32
"1006","Vermont","Female",2007,19,316538,6
"1007","Vermont","Female",2008,22,316722,6.95
"1008","Vermont","Female",2009,18,317128,5.68
"1009","Vermont","Female",2010,20,317535,6.3
"1010","Vermont","Male",2000,68,298337,22.79
"1011","Vermont","Male",2001,59,300444,19.64
"1012","Vermont","Male",2002,77,302483,25.46
"1013","Vermont","Male",2003,69,303652,22.72
"1014","Vermont","Male",2004,77,304840,25.26
"1015","Vermont","Male",2005,60,305793,19.62
"1016","Vermont","Male",2006,61,306602,19.9
"1017","Vermont","Male",2007,70,306943,22.81
"1018","Vermont","Male",2008,72,307429,23.42
"1019","Vermont","Male",2009,69,307689,22.43
"1020","Vermont","Male",2010,86,308206,27.9
"1021","Virginia","Female",2000,167,3606620,4.63
"1022","Virginia","Female",2001,176,3665386,4.8
"1023","Virginia","Female",2002,175,3713695,4.71
"1024","Virginia","Female",2003,177,3757780,4.71
"1025","Virginia","Female",2004,171,3814310,4.48
"1026","Virginia","Female",2005,185,3863646,4.79
"1027","Virginia","Female",2006,206,3908475,5.27
"1028","Virginia","Female",2007,229,3947966,5.8
"1029","Virginia","Female",2008,204,3988983,5.11
"1030","Virginia","Female",2009,217,4037895,5.37
"1031","Virginia","Female",2010,191,4075041,4.69
"1032","Virginia","Male",2000,601,3471895,17.31
"1033","Virginia","Male",2001,621,3532976,17.58
"1034","Virginia","Male",2002,624,3573178,17.46
"1035","Virginia","Male",2003,631,3609197,17.48
"1036","Virginia","Male",2004,656,3661265,17.92
"1037","Virginia","Male",2005,681,3713459,18.34
"1038","Virginia","Male",2006,670,3765250,17.79
"1039","Virginia","Male",2007,651,3803034,17.12
"1040","Virginia","Male",2008,744,3844513,19.35
"1041","Virginia","Male",2009,746,3888042,19.19
"1042","Virginia","Male",2010,772,3925983,19.66
"1043","Washington","Female",2000,140,2959821,4.73
"1044","Washington","Female",2001,142,3002080,4.73
"1045","Washington","Female",2002,169,3036742,5.57
"1046","Washington","Female",2003,161,3065739,5.25
"1047","Washington","Female",2004,191,3107815,6.15
"1048","Washington","Female",2005,166,3145396,5.28
"1049","Washington","Female",2006,177,3200695,5.53
"1050","Washington","Female",2007,190,3247800,5.85
"1051","Washington","Female",2008,189,3293162,5.74
"1052","Washington","Female",2009,204,3343920,6.1
"1053","Washington","Female",2010,218,3374833,6.46
"1054","Washington","Male",2000,587,2934300,20
"1055","Washington","Male",2001,570,2983642,19.1
"1056","Washington","Male",2002,642,3015607,21.29
"1057","Washington","Male",2003,642,3038376,21.13
"1058","Washington","Male",2004,639,3070830,20.81
"1059","Washington","Male",2005,656,3111909,21.08
"1060","Washington","Male",2006,632,3170058,19.94
"1061","Washington","Male",2007,675,3213787,21
"1062","Washington","Male",2008,700,3269069,21.41
"1063","Washington","Male",2009,717,3323506,21.57
"1064","Washington","Male",2010,739,3349707,22.06
"1065","West Virginia","Female",2000,51,929174,5.49
"1066","West Virginia","Female",2001,46,923643,4.98
"1067","West Virginia","Female",2002,41,923841,4.44
"1068","West Virginia","Female",2003,40,925835,4.32
"1069","West Virginia","Female",2004,49,927027,5.29
"1070","West Virginia","Female",2005,44,927690,4.74
"1071","West Virginia","Female",2006,54,930605,5.8
"1072","West Virginia","Female",2007,46,932683,4.93
"1073","West Virginia","Female",2008,56,934911,5.99
"1074","West Virginia","Female",2009,41,937434,4.37
"1075","West Virginia","Female",2010,40,939408,4.26
"1076","West Virginia","Male",2000,194,879170,22.07
"1077","West Virginia","Male",2001,240,877838,27.34
"1078","West Virginia","Male",2002,235,881573,26.66
"1079","West Virginia","Male",2003,226,886460,25.49
"1080","West Virginia","Male",2004,236,889411,26.53
"1081","West Virginia","Male",2005,211,892802,23.63
"1082","West Virginia","Male",2006,215,897307,23.96
"1083","West Virginia","Male",2007,254,901369,28.18
"1084","West Virginia","Male",2008,205,905399,22.64
"1085","West Virginia","Male",2009,212,910341,23.29
"1086","West Virginia","Male",2010,239,913586,26.16
"1087","Wisconsin","Female",2000,119,2714634,4.38
"1088","Wisconsin","Female",2001,116,2733647,4.24
"1089","Wisconsin","Female",2002,115,2751697,4.18
"1090","Wisconsin","Female",2003,109,2766901,3.94
"1091","Wisconsin","Female",2004,155,2782678,5.57
"1092","Wisconsin","Female",2005,121,2797061,4.33
"1093","Wisconsin","Female",2006,144,2812276,5.12
"1094","Wisconsin","Female",2007,148,2827782,5.23
"1095","Wisconsin","Female",2008,158,2842268,5.56
"1096","Wisconsin","Female",2009,165,2856103,5.78
"1097","Wisconsin","Female",2010,160,2864586,5.59
"1098","Wisconsin","Male",2000,471,2649041,17.78
"1099","Wisconsin","Male",2001,522,2673188,19.53
"1100","Wisconsin","Male",2002,512,2693465,19.01
"1101","Wisconsin","Male",2003,538,2712302,19.84
"1102","Wisconsin","Male",2004,507,2731348,18.56
"1103","Wisconsin","Male",2005,522,2749105,18.99
"1104","Wisconsin","Male",2006,526,2765379,19.02
"1105","Wisconsin","Male",2007,581,2782993,20.88
"1106","Wisconsin","Male",2008,585,2798728,20.9
"1107","Wisconsin","Male",2009,559,2813161,19.87
"1108","Wisconsin","Male",2010,633,2822400,22.43
"1109","Wyoming","Female",2000,15,245408,6.11
"1110","Wyoming","Female",2001,11,245327,4.48
"1111","Wyoming","Female",2002,18,247785,7.26
"1112","Wyoming","Female",2003,16,249128,6.42
"1113","Wyoming","Female",2004,21,251506,8.35
"1114","Wyoming","Female",2005,23,253726,9.06
"1115","Wyoming","Female",2006,23,257361,8.94
"1116","Wyoming","Female",2007,18,262776,6.85
"1117","Wyoming","Female",2008,21,267982,7.84
"1118","Wyoming","Female",2009,20,274046,7.3
"1119","Wyoming","Female",2010,25,276189,9.05
"1120","Wyoming","Male",2000,68,248374,27.38
"1121","Wyoming","Male",2001,72,249330,28.88
"1122","Wyoming","Male",2002,87,252232,34.49
"1123","Wyoming","Male",2003,93,254325,36.57
"1124","Wyoming","Male",2004,67,257600,26.01
"1125","Wyoming","Male",2005,67,260431,25.73
"1126","Wyoming","Male",2006,93,265306,35.05
"1127","Wyoming","Male",2007,83,272100,30.5
"1128","Wyoming","Male",2008,103,278061,37.04
"1129","Wyoming","Male",2009,91,285805,31.84
"1130","Wyoming","Male",2010,106,287437,36.88
